thi  ths  tho  thp  weight      mises      stiff_y        stiff_z
3    7    5    4    0.243699    207.139    7.22683e+07    8.03471e+07    
3    7    5    5    0.255777    219.439    7.65702e+07    8.29467e+07    
3    7    5    6    0.268838    198.802    7.98881e+07    8.47702e+07    
3    7    6    2    0.217665    203.595    6.03622e+07    6.90759e+07    
3    7    6    3    0.229042    207.91    6.93578e+07    7.81841e+07    
3    7    6    4    0.251317    203.776    7.56118e+07    8.43519e+07    
3    7    6    5    0.263395    215.807    8.01714e+07    8.77321e+07    
3    7    6    6    0.276456    195.43    8.37055e+07    8.96568e+07    
3    7    7    2    0.225295    200.905    6.25763e+07    7.09073e+07    
3    7    7    3    0.236671    204.963    7.20657e+07    8.0306e+07    
3    7    7    4    0.258947    200.778    7.86553e+07    8.66693e+07    
3    7    7    5    0.271024    212.532    8.3462e+07    9.12068e+07    
3    7    7    6    0.284085    192.422    8.71806e+07    9.41528e+07    
3    7    8    2    0.232935    198.426    6.46494e+07    7.26183e+07    
3    7    8    3    0.244311    202.263    7.45856e+07    8.22633e+07    
3    7    8    4    0.266587    198.063    8.14927e+07    8.87613e+07    
3    7    8    5    0.278664    209.558    8.6516e+07    9.33937e+07    
3    7    8    6    0.291726    189.69    9.04122e+07    9.70301e+07    
3    7    9    2    0.240587    196.103    6.66044e+07    7.4208e+07    
3    7    9    3    0.251963    199.743    7.69581e+07    8.41088e+07    
3    7    9    4    0.274239    195.492    8.41662e+07    9.07538e+07    
3    7    9    5    0.286316    206.751    8.94383e+07    9.54976e+07    
3    7    9    6    0.299377    187.13    9.34893e+07    9.91959e+07    
3    7    10    2    0.248249    193.849    6.85016e+07    7.58381e+07    
3    7    10    3    0.259626    197.295    7.92891e+07    8.59671e+07    
3    7    10    4    0.281901    192.997    8.67816e+07    9.27568e+07    
3    7    10    5    0.293979    204.089    9.22607e+07    9.76101e+07    
3    7    10    6    0.30704    184.661    9.64925e+07    1.01395e+08    
3    8    4    2    0.209405    206.989    5.62539e+07    6.4696e+07    
3    8    4    3    0.220781    211.855    6.45218e+07    7.24715e+07    
3    8    4    4    0.243056    207.853    7.03486e+07    7.77949e+07    
3    8    4    5    0.255133    220.289    7.46021e+07    8.15606e+07    
3    8    4    6    0.268196    199.582    7.79558e+07    8.45933e+07    
3    8    5    2    0.217012    203.56    5.89752e+07    6.82093e+07    
3    8    5    3    0.228388    208.111    6.78133e+07    7.68303e+07    
3    8    5    4    0.250663    204.067    7.40304e+07    8.26577e+07    
3    8    5    5    0.26274    216.179    7.85874e+07    8.68526e+07    
3    8    5    6    0.275803    195.818    8.21254e+07    9.01205e+07    
